,A nN,A nO,A Spe,A Si,A Mv,A Mse,A ETA_dAlpha_B,A ETA_BetaP,A fragC,A LOMO,A Bandgap,B nH,B nN,B Mse,B Mp,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B LOMO,B Bandgap,Time (s)
A nN,1.0,0.12927779618292745,0.5496959004977074,0.5879797991990174,0.21019877681608415,0.20814781488189774,0.14100807116614728,0.45701925117986547,0.4000664066284747,-0.4615250641726683,-0.6122881597050771,0.009080713100420178,-0.05252268568796373,-0.06062681118118591,-0.07746395238298133,0.06419575185900388,0.01633141868161464,-0.07173018655554579,-0.0657110558768883,-0.1176630391098095,0.0791796826375035,0.11668057255497949,3.592018344796557e-16
A nO,0.12927779618292745,1.0,0.8276101155123681,0.7872127351086752,0.6510206146384839,0.9690442041461699,0.24960543986798836,0.18313771444993077,0.8805980421073254,-0.7474731715803317,-0.5385023050824491,-0.020888208427563927,-0.0435890834292949,-0.08270046845586408,-0.05393620451051583,0.03609963458263216,-0.005622649937209608,-0.040284714319505394,-0.05354081496193566,-0.008559276256841077,0.0716352718493062,0.07443496992980042,2.924547374193478e-16
A Spe,0.5496959004977074,0.8276101155123681,1.0,0.9971722005394874,0.7287825966825865,0.8291599695706211,-0.009131504157225582,0.47832636901958064,0.9341792296063651,-0.8727576921199572,-0.7806949744161839,-0.03906090886200509,-0.06697357217467083,-0.08693631611722392,-0.08615630515818073,0.07099205286687128,0.02584327880282854,-0.07513262632102502,-0.08047507080660306,-0.07678689946351241,0.1025756911768387,0.1271042024715423,3.7948946008415073e-16
A Si,0.5879797991990174,0.7872127351086752,0.9971722005394874,1.0,0.7018422859283076,0.7876979230488076,-0.027732273812735877,0.48037886580991634,0.9115845927011375,-0.8555081126408469,-0.7804681118233255,-0.04238151742489314,-0.0687057787892222,-0.0837757108242543,-0.08569769634948574,0.07068404338118404,0.029363935097135876,-0.07486585514553233,-0.08197070942838378,-0.08230160293205652,0.10156661105997718,0.12784759711600857,3.8367653404169166e-16
A Mv,0.21019877681608415,0.6510206146384839,0.7287825966825865,0.7018422859283076,1.0,0.7523062365183595,-0.31839456607532063,0.8063842542133057,0.7847173249161653,-0.8922012930768768,-0.7956902551382118,-0.0023466677600716135,-0.0090624772235283,-0.0633785773561194,-0.06891032392778802,0.07730643985619133,-0.0037020368673430144,-0.06544523309925762,-0.022361071308928542,-0.05579329377700211,0.08593892409043528,0.10377374100946132,2.810440570859927e-16
A Mse,0.20814781488189774,0.9690442041461699,0.8291599695706211,0.7876979230488076,0.7523062365183595,1.0,0.23532882525008797,0.3363648605003193,0.8865482282619126,-0.8117403988440137,-0.6221595526086607,-0.004851270467777313,-0.026573071063020245,-0.08076587802715926,-0.05609337107926506,0.044179324511975385,-0.010089916322633716,-0.04590396119955013,-0.03716271106874553,-0.012051034283626492,0.07034427109117534,0.07425287774423053,3.118189886999244e-16
A ETA_dAlpha_B,0.14100807116614728,0.24960543986798836,-0.009131504157225582,-0.027732273812735877,-0.31839456607532063,0.23532882525008797,1.0,-0.4884445124671805,0.007708879599627989,0.028087727198638036,0.018405264166584636,0.012241994309448258,-0.006517979864056054,-0.008579605973180832,0.059899830504050934,-0.08836400215622148,-0.08295721372125149,0.08707891557354426,0.004964385484859145,0.08371105430407987,-0.04664451445386649,-0.07331387292522572,-2.0883524431597006e-16
A ETA_BetaP,0.45701925117986547,0.18313771444993077,0.47832636901958064,0.48037886580991634,0.8063842542133057,0.3363648605003193,-0.4884445124671805,1.0,0.46341643063299937,-0.6830899000396898,-0.7489403881571198,0.028076869505840717,0.009183033087472751,-0.03670407438827879,-0.07152291344771863,0.09251054554898662,-0.0083149762057548,-0.08295705919548456,-0.008616291242719884,-0.13514725606873673,0.08219627978313791,0.12526011185489633,3.810529696101327e-16
A fragC,0.4000664066284747,0.8805980421073254,0.9341792296063651,0.9115845927011375,0.7847173249161653,0.8865482282619126,0.007708879599627989,0.46341643063299937,1.0,-0.8661498086497629,-0.7232824341904834,-0.025686005369342253,-0.06602375194877132,-0.1032314571791277,-0.10054014788355593,0.08810414224680771,0.02236449864532973,-0.08861787232589388,-0.0852507722266207,-0.054011681575602384,0.11446452580575646,0.13176388578282985,3.6249047829018127e-16
A LOMO,-0.4615250641726683,-0.7474731715803317,-0.8727576921199572,-0.8555081126408469,-0.8922012930768768,-0.8117403988440137,0.028087727198638036,-0.6830899000396898,-0.8661498086497629,1.0,0.944179583320251,0.014450212640310532,0.03309844829354886,0.06636779077044982,0.053045197332096276,-0.04409607266057066,0.024024996452327446,0.0427310392986899,0.034055395255072056,0.0615613790275357,-0.08188431940976741,-0.1015488654029981,-2.511627303608217e-16
A Bandgap,-0.6122881597050771,-0.5385023050824491,-0.7806949744161839,-0.7804681118233255,-0.7956902551382118,-0.6221595526086607,0.018405264166584636,-0.7489403881571198,-0.7232824341904834,0.944179583320251,1.0,0.011985124843455602,0.011846451166429437,0.030867296876615328,0.020160205398647733,-0.018899098327437545,0.04896425848709367,0.008718245223641322,0.010203671443482956,0.08634677521723437,-0.052416094773378004,-0.07992984861271356,-1.8368503117039503e-16
B nH,0.009080713100420178,-0.020888208427563927,-0.03906090886200509,-0.04238151742489314,-0.0023466677600716135,-0.004851270467777313,0.012241994309448258,0.028076869505840717,-0.025686005369342253,0.014450212640310532,0.011985124843455602,1.0,0.3707056292696797,-0.057077472080003376,0.03932190186258281,-0.06253419862010758,-0.4223884646739818,-0.15277094270246927,0.41964233837247306,0.3347324464949602,-0.18799268492059362,-0.29463611823424934,6.586299939513423e-17
B nN,-0.05252268568796373,-0.0435890834292949,-0.06697357217467083,-0.0687057787892222,-0.0090624772235283,-0.026573071063020245,-0.006517979864056054,0.009183033087472751,-0.06602375194877132,0.03309844829354886,0.011846451166429437,0.3707056292696797,1.0,0.690262936644442,0.618495451806209,-0.3041412762354752,-0.20031841819025736,0.465143813161479,0.8802945245892573,-0.1931431971276028,-0.7666176476681661,-0.7060364900425778,-1.574798791566265e-16
B Mse,-0.06062681118118591,-0.08270046845586408,-0.08693631611722392,-0.0837757108242543,-0.0633785773561194,-0.08076587802715926,-0.008579605973180832,-0.03670407438827879,-0.1032314571791277,0.06636779077044982,0.030867296876615328,-0.057077472080003376,0.690262936644442,1.0,0.8389524866908891,-0.6111559356067429,-0.08711814786927402,0.6486686195293943,0.7464628646230292,-0.5188211848504467,-0.8847460513522959,-0.7207339590136094,-2.980832733492431e-17
B Mp,-0.07746395238298133,-0.05393620451051583,-0.08615630515818073,-0.08569769634948574,-0.06891032392778802,-0.05609337107926506,0.059899830504050934,-0.07152291344771863,-0.10054014788355593,0.053045197332096276,0.020160205398647733,0.03932190186258281,0.618495451806209,0.8389524866908891,1.0,-0.9098813492243287,-0.5024811359946708,0.8933555280348682,0.7125530011940467,-0.2194363104421227,-0.9282016901377678,-0.8594357651101727,-3.537191318037552e-16
B Mi,0.06419575185900388,0.03609963458263216,0.07099205286687128,0.07068404338118404,0.07730643985619133,0.044179324511975385,-0.08836400215622148,0.09251054554898662,0.08810414224680771,-0.04409607266057066,-0.018899098327437545,-0.06253419862010758,-0.3041412762354752,-0.6111559356067429,-0.9098813492243287,1.0,0.5905460235528129,-0.824731176961123,-0.5179662811418838,0.024988177507183924,0.7667671611802409,0.7596563490210213,1.6904190238846205e-16
B ETA_dAlpha_B,0.01633141868161464,-0.005622649937209608,0.02584327880282854,0.029363935097135876,-0.0037020368673430144,-0.010089916322633716,-0.08295721372125149,-0.0083149762057548,0.02236449864532973,0.024024996452327446,0.04896425848709367,-0.4223884646739818,-0.20031841819025736,-0.08711814786927402,-0.5024811359946708,0.5905460235528129,1.0,-0.45314239717114285,-0.2940976377044034,-0.11177536288149897,0.30636213860232664,0.3422382452030387,1.1774336566235276e-16
B ETA_BetaP,-0.07173018655554579,-0.040284714319505394,-0.07513262632102502,-0.07486585514553233,-0.06544523309925762,-0.04590396119955013,0.08707891557354426,-0.08295705919548456,-0.08861787232589388,0.0427310392986899,0.008718245223641322,-0.15277094270246927,0.465143813161479,0.6486686195293943,0.8933555280348682,-0.824731176961123,-0.45314239717114285,1.0,0.44386155171545183,-0.03596556063008115,-0.7878325399493946,-0.7772540622092231,-2.983010967993122e-16
B fragC,-0.0657110558768883,-0.05354081496193566,-0.08047507080660306,-0.08197070942838378,-0.022361071308928542,-0.03716271106874553,0.004964385484859145,-0.008616291242719884,-0.0852507722266207,0.034055395255072056,0.010203671443482956,0.41964233837247306,0.8802945245892573,0.7464628646230292,0.7125530011940467,-0.5179662811418838,-0.2940976377044034,0.44386155171545183,1.0,-0.1762630409817599,-0.7906994391727568,-0.735512082340153,-2.2145882290610692e-16
B HOMO,-0.1176630391098095,-0.008559276256841077,-0.07678689946351241,-0.08230160293205652,-0.05579329377700211,-0.012051034283626492,0.08371105430407987,-0.13514725606873673,-0.054011681575602384,0.0615613790275357,0.08634677521723437,0.3347324464949602,-0.1931431971276028,-0.5188211848504467,-0.2194363104421227,0.024988177507183924,-0.11177536288149897,-0.03596556063008115,-0.1762630409817599,1.0,0.16224048380410058,-0.15556432942809428,-2.5867461999656183e-16
B LOMO,0.0791796826375035,0.0716352718493062,0.1025756911768387,0.10156661105997718,0.08593892409043528,0.07034427109117534,-0.04664451445386649,0.08219627978313791,0.11446452580575646,-0.08188431940976741,-0.052416094773378004,-0.18799268492059362,-0.7666176476681661,-0.8847460513522959,-0.9282016901377678,0.7667671611802409,0.30636213860232664,-0.7878325399493946,-0.7906994391727568,0.16224048380410058,1.0,0.9494994730512327,2.8384019615984346e-16
B Bandgap,0.11668057255497949,0.07443496992980042,0.1271042024715423,0.12784759711600857,0.10377374100946132,0.07425287774423053,-0.07331387292522572,0.12526011185489633,0.13176388578282985,-0.1015488654029981,-0.07992984861271356,-0.29463611823424934,-0.7060364900425778,-0.7207339590136094,-0.8594357651101727,0.7596563490210213,0.3422382452030387,-0.7772540622092231,-0.735512082340153,-0.15556432942809428,0.9494994730512327,1.0,3.290149579970555e-16
Time (s),3.592018344796557e-16,2.924547374193478e-16,3.7948946008415073e-16,3.8367653404169166e-16,2.810440570859927e-16,3.118189886999244e-16,-2.0883524431597006e-16,3.810529696101327e-16,3.6249047829018127e-16,-2.511627303608217e-16,-1.8368503117039503e-16,6.586299939513423e-17,-1.574798791566265e-16,-2.980832733492431e-17,-3.537191318037552e-16,1.6904190238846205e-16,1.1774336566235276e-16,-2.983010967993122e-16,-2.2145882290610692e-16,-2.5867461999656183e-16,2.8384019615984346e-16,3.290149579970555e-16,1.0
